title,category,level,description,duration,instructor,price,language,grade
Introduction to Python Programming,Machine Learning,Intermediate,This is a comprehensive course on Introduction to Python Programming. It covers all the key concepts and hands-on projects.,10 weeks,Olivia Taylor,107.35,Hindi,
Python for Data Science,Cybersecurity,Intermediate,This is a comprehensive course on Python for Data Science. It covers all the key concepts and hands-on projects.,6 weeks,Emma White,91.41,Spanish,
Machine Learning with Python,Cybersecurity,Advanced,This is a comprehensive course on Machine Learning with Python. It covers all the key concepts and hands-on projects.,6 weeks,Michael Brown,222.78,English,
Deep Learning with TensorFlow,Cybersecurity,Advanced,This is a comprehensive course on Deep Learning with TensorFlow. It covers all the key concepts and hands-on projects.,12 weeks,Michael Brown,279.69,German,
Computer Vision Essentials,Web Development,Beginner,This is a comprehensive course on Computer Vision Essentials. It covers all the key concepts and hands-on projects.,4 weeks,Michael Brown,189.38,French,
Natural Language Processing Fundamentals,AI,Intermediate,This is a comprehensive course on Natural Language Processing Fundamentals. It covers all the key concepts and hands-on projects.,9 weeks,Emily Johnson,217.88,French,
Reinforcement Learning Basics,Cloud,Advanced,This is a comprehensive course on Reinforcement Learning Basics. It covers all the key concepts and hands-on projects.,6 weeks,James Anderson,245.95,Hindi,
Data Analysis with Pandas,Blockchain,Beginner,This is a comprehensive course on Data Analysis with Pandas. It covers all the key concepts and hands-on projects.,11 weeks,Emma White,118.78,French,
Statistics for Data Science,Machine Learning,Beginner,This is a comprehensive course on Statistics for Data Science. It covers all the key concepts and hands-on projects.,8 weeks,Sophia Davis,93.19,German,
SQL for Data Analysis,UI/UX,Intermediate,This is a comprehensive course on SQL for Data Analysis. It covers all the key concepts and hands-on projects.,7 weeks,Emma White,107.2,Spanish,
Big Data with Apache Spark,Machine Learning,Beginner,This is a comprehensive course on Big Data with Apache Spark. It covers all the key concepts and hands-on projects.,8 weeks,Daniel Wilson,63.75,Spanish,
Introduction to Cloud Computing,Cybersecurity,Intermediate,This is a comprehensive course on Introduction to Cloud Computing. It covers all the key concepts and hands-on projects.,6 weeks,Daniel Wilson,68.62,Spanish,
AWS Fundamentals,AI,Beginner,This is a comprehensive course on AWS Fundamentals. It covers all the key concepts and hands-on projects.,5 weeks,Isabella Moore,139.56,Spanish,
Docker and Kubernetes Essentials,AI,Beginner,This is a comprehensive course on Docker and Kubernetes Essentials. It covers all the key concepts and hands-on projects.,9 weeks,Michael Brown,274.68,English,
DevOps Practices and CI/CD,Blockchain,Advanced,This is a comprehensive course on DevOps Practices and CI/CD. It covers all the key concepts and hands-on projects.,11 weeks,Olivia Taylor,69.53,French,
Web Development with HTML & CSS,Web Development,Advanced,This is a comprehensive course on Web Development with HTML & CSS. It covers all the key concepts and hands-on projects.,11 weeks,Liam Thomas,216.98,French,
JavaScript and DOM Manipulation,Blockchain,Advanced,This is a comprehensive course on JavaScript and DOM Manipulation. It covers all the key concepts and hands-on projects.,8 weeks,Liam Thomas,168.85,Hindi,
React.js: From Zero to Hero,Machine Learning,Beginner,This is a comprehensive course on React.js: From Zero to Hero. It covers all the key concepts and hands-on projects.,9 weeks,Emily Johnson,274.0,Hindi,
Node.js API Development,Blockchain,Intermediate,This is a comprehensive course on Node.js API Development. It covers all the key concepts and hands-on projects.,8 weeks,James Anderson,298.3,Spanish,
Full-Stack Web Development,Machine Learning,Advanced,This is a comprehensive course on Full-Stack Web Development. It covers all the key concepts and hands-on projects.,6 weeks,Michael Brown,146.06,Hindi,
Mobile App Development with Flutter,Mobile Development,Advanced,This is a comprehensive course on Mobile App Development with Flutter. It covers all the key concepts and hands-on projects.,4 weeks,Emily Johnson,108.13,Spanish,
Android Development with Kotlin,Machine Learning,Advanced,This is a comprehensive course on Android Development with Kotlin. It covers all the key concepts and hands-on projects.,7 weeks,Liam Thomas,79.04,Spanish,
iOS Development with Swift,Cloud,Beginner,This is a comprehensive course on iOS Development with Swift. It covers all the key concepts and hands-on projects.,11 weeks,James Anderson,295.95,German,
Software Engineering Principles,UI/UX,Intermediate,This is a comprehensive course on Software Engineering Principles. It covers all the key concepts and hands-on projects.,10 weeks,John Smith,158.43,German,
Data Structures and Algorithms,Machine Learning,Beginner,This is a comprehensive course on Data Structures and Algorithms. It covers all the key concepts and hands-on projects.,12 weeks,Michael Brown,96.61,English,
Competitive Programming,Blockchain,Advanced,This is a comprehensive course on Competitive Programming. It covers all the key concepts and hands-on projects.,4 weeks,Emma White,87.96,English,
Introduction to Cybersecurity,DevOps,Advanced,This is a comprehensive course on Introduction to Cybersecurity. It covers all the key concepts and hands-on projects.,10 weeks,John Smith,88.94,English,
Ethical Hacking: Penetration Testing,Programming,Beginner,This is a comprehensive course on Ethical Hacking: Penetration Testing. It covers all the key concepts and hands-on projects.,10 weeks,James Anderson,71.91,Hindi,
Blockchain Basics,Mobile Development,Advanced,This is a comprehensive course on Blockchain Basics. It covers all the key concepts and hands-on projects.,8 weeks,James Anderson,216.14,English,
UI/UX Design Fundamentals,Data Science,Intermediate,This is a comprehensive course on UI/UX Design Fundamentals. It covers all the key concepts and hands-on projects.,9 weeks,John Smith,109.22,Hindi,
Product Management Essentials,UI/UX,Advanced,This is a comprehensive course on Product Management Essentials. It covers all the key concepts and hands-on projects.,7 weeks,James Anderson,180.21,Spanish,
Project Management with Agile,Blockchain,Beginner,This is a comprehensive course on Project Management with Agile. It covers all the key concepts and hands-on projects.,8 weeks,Emma White,298.36,German,
Excel for Data Analysis,Machine Learning,Intermediate,This is a comprehensive course on Excel for Data Analysis. It covers all the key concepts and hands-on projects.,11 weeks,Daniel Wilson,205.7,Hindi,
Tableau for Data Visualization,DevOps,Intermediate,This is a comprehensive course on Tableau for Data Visualization. It covers all the key concepts and hands-on projects.,8 weeks,Sophia Davis,79.49,Spanish,
Power BI Dashboards,Cybersecurity,Advanced,This is a comprehensive course on Power BI Dashboards. It covers all the key concepts and hands-on projects.,12 weeks,Michael Brown,224.9,German,
Time Series Analysis and Forecasting,Mobile Development,Beginner,This is a comprehensive course on Time Series Analysis and Forecasting. It covers all the key concepts and hands-on projects.,10 weeks,Olivia Taylor,206.01,Spanish,
Speech Recognition and Processing,Programming,Beginner,This is a comprehensive course on Speech Recognition and Processing. It covers all the key concepts and hands-on projects.,6 weeks,Liam Thomas,141.41,Hindi,
AR/VR Development Basics,Machine Learning,Beginner,This is a comprehensive course on AR/VR Development Basics. It covers all the key concepts and hands-on projects.,11 weeks,Michael Brown,263.96,French,
Internet of Things (IoT) Fundamentals,Data Science,Advanced,This is a comprehensive course on Internet of Things (IoT) Fundamentals. It covers all the key concepts and hands-on projects.,8 weeks,Emily Johnson,125.09,Hindi,
Robotics: Introduction to Control,Machine Learning,Advanced,This is a comprehensive course on Robotics: Introduction to Control. It covers all the key concepts and hands-on projects.,7 weeks,John Smith,263.35,English,
Quantum Computing Principles,Web Development,Beginner,This is a comprehensive course on Quantum Computing Principles. It covers all the key concepts and hands-on projects.,5 weeks,Isabella Moore,83.94,German,
Ethical AI Foundations,Programming,Advanced,This is a comprehensive course on Ethical AI Foundations. It covers all the key concepts and hands-on projects.,11 weeks,Liam Thomas,254.33,French,
Data Engineering with ETL Pipelines,Data Science,Intermediate,This is a comprehensive course on Data Engineering with ETL Pipelines. It covers all the key concepts and hands-on projects.,11 weeks,Emily Johnson,120.21,French,
MLOps: Deploying ML Models,Cybersecurity,Intermediate,This is a comprehensive course on MLOps: Deploying ML Models. It covers all the key concepts and hands-on projects.,11 weeks,Daniel Wilson,83.31,French,
Model Interpretability and Explainability,DevOps,Beginner,This is a comprehensive course on Model Interpretability and Explainability. It covers all the key concepts and hands-on projects.,4 weeks,Olivia Taylor,238.7,German,
System Design Interview Prep,Machine Learning,Intermediate,This is a comprehensive course on System Design Interview Prep. It covers all the key concepts and hands-on projects.,4 weeks,Olivia Taylor,188.65,English,
Capstone: Build a Real-World ML App,Machine Learning,Beginner,This is a comprehensive course on Capstone: Build a Real-World ML App. It covers all the key concepts and hands-on projects.,6 weeks,Emma White,257.71,French,
Game Development with Unity,Web Development,Beginner,This is a comprehensive course on Game Development with Unity. It covers all the key concepts and hands-on projects.,12 weeks,Michael Brown,254.96,Spanish,
API Development with Django,Cloud,Intermediate,This is a comprehensive course on API Development with Django. It covers all the key concepts and hands-on projects.,10 weeks,Olivia Taylor,178.47,German,
Cybersecurity for Beginners,Web Development,Beginner,This is a comprehensive course on Cybersecurity for Beginners. It covers all the key concepts and hands-on projects.,12 weeks,John Smith,66.54,English,
